275,VELA DEC CILINDRICA 35MMX05CM ,PA,UN,5218,PAVIO P/VELA DECORATIVA A2015 ,"0,0225"
275,VELA DEC CILINDRICA 35MMX05CM ,PA,UN,5223,PARAFINA                      ,"4,2893"
364,VELA DEC CILINDRICA 90MMX15CM ,PA,UN,5223,PARAFINA                      ,"4,2893"
364,VELA DEC CILINDRICA 90MMX15CM ,PA,UN,6512,PAVIO P/VELA DECORATIVA A2040 ,"0,0417"
365,VELA DEC CILINDRICA 90MMX26CM ,PA,UN,5223,PARAFINA                      ,"4,2893"
365,VELA DEC CILINDRICA 90MMX26CM ,PA,UN,6512,PAVIO P/VELA DECORATIVA A2040 ,"0,0417"
366,VELA DEC CILINDRICA 90MMX10CM ,PA,UN,5223,PARAFINA                      ,"4,2893"
366,VELA DEC CILINDRICA 90MMX10CM ,PA,UN,6512,PAVIO P/VELA DECORATIVA A2040 ,"0,0417"
379,VELA DEC CASTICAL 30 CM       ,PA,UN,5340,BARBANTE                      ,"8,547"
379,VELA DEC CASTICAL 30 CM       ,PA,UN,5223,PARAFINA                      ,"4,2893"
380,VELA DEC CASTICAL 40CM        ,PA,UN,5340,BARBANTE                      ,"8,547"
380,VELA DEC CASTICAL 40CM        ,PA,UN,5223,PARAFINA                      ,"4,2893"
5315,VELA DA PAZ N-01 EXTRA 24X8X7G,PA,CX,5261,CAIXA DA PAZ N.1 EXTRA        ,0
5315,VELA DA PAZ N-01 EXTRA 24X8X7G,PA,CX,5340,BARBANTE                      ,"8,547"
5315,VELA DA PAZ N-01 EXTRA 24X8X7G,PA,CX,5341,MASSA PARA VELAS(SEBO HIDROGEN,"3,0326"
5315,VELA DA PAZ N-01 EXTRA 24X8X7G,PA,CX,5223,PARAFINA                      ,"4,2893"
5315,VELA DA PAZ N-01 EXTRA 24X8X7G,PA,CX,5245,CARTUCHO P/VELAS DA PAZ N. 1 E,0
5316,"VELA DA PAZ N-03 EXTRA 24X8X8,",PA,CX,5249,CARTUCHO P/ VELAS  DA PAZ N.3 ,"0,0556"
5316,"VELA DA PAZ N-03 EXTRA 24X8X8,",PA,CX,5263,CAIXA DA PAZ N.3 EXTRA        ,"0,3589"
